player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_total_bases,r_total_caught_stealing,r_total_stolen_base,b_sac_fly,last_name,first_name
680779,2025,25,252,283,42,28,7,0,7,76,18,26.9,6.4,0.167,0.278,0.234,0.512,22,70,1,2,3,Davis, Henry
680977,2025,28,460,515,132,90,32,0,10,67,42,13.0,8.2,0.287,0.422,0.353,0.775,50,194,3,3,4,Donovan, Brendan
681082,2025,27,499,560,128,90,22,3,13,91,54,16.3,9.6,0.257,0.391,0.328,0.719,66,195,5,24,4,Stott, Bryson
681297,2025,25,327,360,64,34,14,0,16,128,27,35.6,7.5,0.196,0.385,0.269,0.654,40,126,0,14,0,Cowser, Colton
681351,2025,25,423,451,90,62,8,1,19,139,24,30.8,5.3,0.213,0.371,0.258,0.629,43,157,1,2,1,O'Hoppe, Logan
681393,2025,25,311,337,78,52,17,1,8,90,18,26.7,5.3,0.251,0.389,0.3,0.689,34,121,2,8,3,Norby, Connor
681460,2025,24,300,328,72,45,15,1,11,86,21,26.2,6.4,0.24,0.407,0.29,0.697,38,122,0,5,2,Baldwin, Brooks
681481,2025,27,433,464,109,60,18,5,26,106,18,22.8,3.9,0.252,0.497,0.291,0.788,62,215,1,1,2,Carpenter, Kerry
681624,2025,24,581,624,158,103,27,1,27,135,29,21.6,4.6,0.272,0.461,0.313,0.774,86,268,7,14,6,Pages, Andy
681715,2025,25,256,294,68,45,12,1,10,77,31,26.2,10.5,0.266,0.438,0.347,0.785,45,112,1,1,4,Hernández, Heriberto
681807,2025,29,146,157,25,13,4,0,8,58,9,36.9,5.7,0.171,0.363,0.229,0.592,23,53,0,1,0,Fry, David
682177,2025,28,379,422,78,47,18,1,12,117,38,27.7,9.0,0.206,0.354,0.283,0.637,41,134,3,9,1,Schneemann, Daniel
682622,2025,23,339,360,89,56,17,2,14,85,16,23.6,4.4,0.263,0.448,0.3,0.748,51,152,3,10,2,Marte, Noelvi
682626,2025,23,246,277,63,39,12,1,11,73,27,26.4,9.7,0.256,0.447,0.339,0.786,32,110,0,0,0,Alvarez, Francisco
682641,2025,23,172,184,38,20,9,1,8,27,11,14.7,6.0,0.221,0.424,0.266,0.69,22,73,0,4,1,Matos, Luis
682657,2025,23,446,484,100,64,23,2,11,110,23,22.7,4.8,0.224,0.359,0.269,0.628,45,160,2,8,4,Martínez, Angel
682663,2025,23,537,585,124,69,33,1,21,113,36,19.3,6.2,0.231,0.413,0.287,0.7,67,222,3,16,4,Ramírez, Agustín
682668,2025,23,175,193,41,34,7,0,0,37,13,19.2,6.7,0.234,0.274,0.293,0.567,8,48,1,16,1,Acuña, Luisangel
682829,2025,23,629,699,166,106,31,7,22,181,67,25.9,9.6,0.264,0.44,0.336,0.776,86,277,8,37,1,De La Cruz, Elly
682928,2025,24,580,635,149,90,35,5,19,125,37,19.7,5.8,0.257,0.433,0.315,0.748,60,251,3,31,3,Abrams, CJ
682985,2025,24,600,655,155,87,31,1,36,201,46,30.7,7.0,0.258,0.493,0.313,0.806,111,296,1,2,5,Greene, Riley
